,NONE,RUM,NearMiss,ENN,Tomek Link,ROM,OSS,SMOTE,BSMOTE,SMOTE+Tomek,SMOTE+ENN
recall,9,5,4,7,6,6,8,6,3,1,2
precision,1,4,7,3,4,4,2,4,5,8,6
Pf,1,4,6,3,4,4,2,4,5,8,7
F1,7,2,5,4,3,2,6,2,2,1,1
AUC,7,1,6,4,4,1,5,1,3,3,2
MCC,5,1,6,3,3,1,4,1,3,3,2
Popt,2,1,3,3,2,1,2,1,1,1,1
Erecall,8,5,4,6,5,5,7,5,3,1,2
Eprecision,1,4,7,3,4,4,2,3,5,8,6
Efmeasure,6,1,5,4,3,1,5,1,2,2,2
PMI,1,4,5,3,4,4,2,4,5,7,6
IFA,1,3,7,2,2,2,1,3,4,6,5
