,NONE,RUM,NearMiss,ENN,Tomek Link,ROM,OSS,SMOTE,BSMOTE,SMOTE+Tomek,SMOTE+ENN
recall,10,3,2,5,4,9,8,7,6,1,2
precision,1,7,10,6,7,2,3,4,5,9,8
Pf,1,7,10,6,7,2,3,4,5,9,8
F1,1,7,10,5,6,2,2,3,4,9,8
AUC,1,5,8,4,4,1,2,2,3,7,6
MCC,1,7,10,5,6,2,2,3,4,9,8
Popt,8,3,7,6,4,7,7,6,5,1,2
Erecall,11,3,5,6,4,10,9,8,7,1,2
Eprecision,1,7,10,6,7,2,3,4,5,9,8
Efmeasure,1,7,10,6,6,2,3,4,5,9,8
PMI,1,7,10,6,7,2,3,4,5,9,8
IFA,1,7,10,5,6,2,3,3,4,9,8
