"class","none.Popt","rum.Popt","nm.Popt","enn.Popt","tlr.Popt","oss.Popt","rom.Popt","smo.Popt","bsmote.Popt","csmote.Popt","cenn.Popt"
"fabric","0.593","0.732","0.806","0.828","0.609","0.609","0.736","0.723","0.777","0.744","0.674"
"jgroups","0.429","0.649","0.661","0.606","0.428","0.43","0.65","0.649","0.67","0.652","0.556"
"camel","0.533","0.736","0.786","0.798","0.545","0.545","0.735","0.736","0.753","0.741","0.664"
"tomcat","0.592","0.677","0.689","0.83","0.597","0.604","0.675","0.677","0.706","0.68","0.621"
"brackets","0.7","0.797","0.811","0.889","0.713","0.719","0.798","0.798","0.836","0.808","0.794"
"neutron","0.764","0.844","0.815","0.918","0.769","0.822","0.844","0.843","0.874","0.846","0.836"
"spring-integration","0.646","0.733","0.674","0.841","0.655","0.629","0.734","0.741","0.757","0.759","0.74"
"broadleaf","0.503","0.721","0.738","0.763","0.517","0.52","0.721","0.722","0.762","0.728","0.662"
"nova","0.793","0.879","0.826","0.939","0.801","0.817","0.879","0.879","0.908","0.879","0.871"
"npm","0.41","0.706","0.736","0.741","0.427","0.427","0.701","0.705","0.712","0.707","0.671"
"AVG","0.596","0.747","0.754","0.815","0.606","0.612","0.747","0.747","0.776","0.754","0.709"
"WTL","0","0","0","0","0","0","0","0","0","0","0"
"Improve.e","0","20.21","20.942","26.868","1.607","2.61","20.204","20.211","23.121","20.96","15.897"
