"class","none.IFA","rum.IFA","nm.IFA","enn.IFA","tlr.IFA","oss.IFA","rom.IFA","smo.IFA","bsmote.IFA","csmote.IFA","cenn.IFA"
"fabric","2","5","5","4","2","2","5","5","6","5","4"
"jgroups","1","5","5","3","1","2","5","5","5","5","5"
"camel","2","4","4","3","2","2","3","4","4","3","3"
"tomcat","2","2","2","2","2","2","2","2","2","2","2"
"brackets","3","3","3","6","3","3","3","3","5","3","3"
"neutron","2","2","2","3","2","2","2","3","4","3","2"
"spring-integration","1","2","2","2","1","1","3","2.5","3","2","2.5"
"broadleaf","2","4","4","4","2","2","4","4","4","4","4"
"nova","2","3","3","4","2","2","3","4","4","4","3"
"npm","2","4","4","3","2","2","4","4","4","4","3"
"AVG","1.9","3.4","3.4","3.4","1.9","2","3.4","3.65","4.1","3.5","3.15"
"WTL","0","0","0","0","0","0","0","0","0","0","0"
"Improve.e","0","44.118","44.118","44.118","0","5","44.118","47.945","53.659","45.714","39.683"
