projects,NONE,RUM,NearMiss,ENN,TomekLink,OSS,ROM,SMOTE,BSMOTE,SMOTE+Tomek,SMOTE+ENN,,max
Fabric8,0.61,0.51,0.518,0.522,0.586,0.586,0.513,0.51,0.503,0.509,0.522,,0.61
JGroups,0.643,0.457,0.452,0.533,0.625,0.636,0.456,0.456,0.438,0.455,0.487,,0.643
Camel,0.6,0.507,0.507,0.494,0.593,0.59,0.508,0.504,0.497,0.496,0.508,,0.6
Tomcat,0.709,0.641,0.638,0.564,0.689,0.69,0.641,0.641,0.624,0.638,0.665,,0.709
Brackets,0.732,0.677,0.675,0.634,0.728,0.717,0.68,0.68,0.655,0.676,0.694,,0.732
Neutron,0.759,0.731,0.753,0.689,0.763,0.741,0.731,0.731,0.717,0.722,0.731,,0.763
Spring,0.729,0.681,0.7,0.642,0.714,0.707,0.677,0.682,0.667,0.679,0.667,,0.729
Broadleaf,0.661,0.538,0.54,0.521,0.635,0.631,0.537,0.533,0.524,0.525,0.535,,0.661
Nova,0.747,0.704,0.73,0.685,0.739,0.714,0.704,0.704,0.692,0.702,0.704,,0.747
Npm,0.581,0.481,0.5,0.476,0.586,0.571,0.494,0.486,0.482,0.482,0.493,,0.586
AVG,0.677,0.593,0.601,0.576,0.666,0.658,0.594,0.593,0.58,0.588,0.6,,0.677
WTL,0,0,0,0,0,0,0,0,0,0,0,,
Improve.e,0,-14.244,-12.584,-17.549,-1.7,-2.832,-13.984,-14.244,-16.765,-15.081,-12.763,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
max,0.759,0.731,0.753,0.689,0.763,0.741,0.731,0.731,0.717,0.722,0.731,,
