projects,NONE,RUM,NearMiss,ENN,TomekLink,OSS,ROM,SMOTE,BSMOTE,SMOTE+Tomek,SMOTE+ENN,,min
Fabric8,0.182,0.394,0.401,0.404,0.211,0.215,0.408,0.405,0.441,0.425,0.397,,0.182
JGroups,0.14,0.364,0.384,0.313,0.158,0.158,0.37,0.37,0.392,0.373,0.315,,0.14
Camel,0.209,0.413,0.403,0.459,0.239,0.239,0.412,0.411,0.429,0.421,0.402,,0.209
Tomcat,0.29,0.395,0.408,0.561,0.302,0.305,0.396,0.396,0.429,0.409,0.37,,0.29
Brackets,0.293,0.385,0.392,0.477,0.307,0.313,0.383,0.384,0.42,0.389,0.368,,0.293
Neutron,0.322,0.396,0.364,0.449,0.339,0.366,0.394,0.394,0.422,0.399,0.399,,0.322
Spring,0.315,0.409,0.386,0.505,0.354,0.373,0.408,0.404,0.429,0.43,0.438,,0.315
Broadleaf,0.17,0.358,0.329,0.372,0.204,0.204,0.359,0.362,0.394,0.378,0.349,,0.17
Nova,0.366,0.406,0.38,0.463,0.367,0.387,0.406,0.406,0.431,0.407,0.408,,0.366
Npm,0.163,0.392,0.404,0.459,0.189,0.201,0.392,0.408,0.404,0.432,0.392,,0.163
AVG,0.245,0.391,0.385,0.446,0.267,0.276,0.393,0.394,0.419,0.406,0.384,,0.245
WTL,0,0,0,0,0,0,0,0,0,0,0,,
Improve.e,0,37.404,36.396,45.121,8.257,11.239,37.658,37.851,41.569,39.731,36.183,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
min,0.14,0.358,0.329,0.313,0.158,0.158,0.359,0.362,0.392,0.373,0.315,,
