"class","none.recall","rum.recall","nm.recall","enn.recall","tlr.recall","oss.recall","rom.recall","smo.recall","bsmote.recall","csmote.recall","cenn.recall"
"fabric","0.35","0.817","0.831","0.828","0.412","0.412","0.808","0.817","0.885","0.81","0.744"
"jgroups","0.25","0.722","0.753","0.573","0.283","0.294","0.709","0.706","0.786","0.709","0.629"
"camel","0.426","0.801","0.858","0.827","0.477","0.484","0.807","0.808","0.86","0.814","0.785"
"tomcat","0.54","0.726","0.735","0.861","0.6","0.578","0.72","0.724","0.778","0.727","0.709"
"brackets","0.737","0.849","0.829","0.923","0.748","0.756","0.842","0.849","0.923","0.843","0.791"
"neutron","0.89","0.956","0.89","0.96","0.891","0.879","0.959","0.974","1","0.968","0.891"
"spring-integration","0.693","0.883","0.779","0.892","0.714","0.739","0.855","0.862","0.894","0.836","0.833"
"broadleaf","0.441","0.795","0.76","0.821","0.477","0.5","0.786","0.795","0.888","0.791","0.75"
"nova","0.828","0.958","0.844","0.95","0.849","0.834","0.947","0.947","0.981","0.954","0.898"
"npm","0.304","0.833","0.706","0.788","0.333","0.351","0.824","0.833","0.851","0.827","0.735"
"AVG","0.546","0.834","0.798","0.843","0.579","0.583","0.826","0.832","0.885","0.828","0.777"
"WTL","0","0","0","0","0","0","0","0","0","0","0"
"Improve.e","0","34.53","31.608","35.188","5.628","6.294","33.862","34.34","38.275","34.041","29.679"
