projects,NONE,RUM,NearMiss,ENN,TomekLink,OSS,ROM,SMOTE,BSMOTE,SMOTE+Tomek,SMOTE+ENN,,max
Fabric8,0.49,0.725,0.709,0.736,0.541,0.554,0.721,0.721,0.748,0.744,0.736,,0.748
JGroups,0.43,0.605,0.629,0.579,0.436,0.448,0.611,0.605,0.632,0.603,0.543,,0.632
Camel,0.489,0.716,0.68,0.773,0.528,0.523,0.712,0.711,0.741,0.73,0.711,,0.773
Tomcat,0.529,0.646,0.655,0.804,0.546,0.548,0.647,0.658,0.684,0.666,0.636,,0.804
Brackets,0.639,0.761,0.772,0.858,0.655,0.663,0.766,0.761,0.808,0.771,0.749,,0.858
Neutron,0.74,0.832,0.809,0.902,0.763,0.821,0.832,0.832,0.876,0.846,0.849,,0.902
Spring,0.614,0.748,0.684,0.851,0.643,0.656,0.748,0.747,0.754,0.754,0.795,,0.851
Broadleaf,0.488,0.748,0.67,0.752,0.521,0.513,0.74,0.748,0.756,0.751,0.716,,0.756
Nova,0.719,0.85,0.762,0.917,0.732,0.77,0.85,0.85,0.888,0.857,0.856,,0.917
Npm,0.434,0.652,0.655,0.681,0.461,0.463,0.653,0.649,0.667,0.67,0.682,,0.682
AVG,0.557,0.728,0.703,0.785,0.583,0.596,0.728,0.728,0.755,0.739,0.727,,0.785
WTL,0,0,0,0,0,0,0,0,0,0,0,,
Improve.e,0,23.47,20.669,29.036,4.346,6.458,23.436,23.486,26.212,24.59,23.367,,
,,,,,,,,,,,,,
max,0.74,0.85,0.809,0.917,0.763,0.821,0.85,0.85,0.888,0.857,0.856,,
