projects,NONE,,RUM,,NearMiss,,ENN,,TomekLink,,OSS,,ROM,,SMOTE,,BSMOTE,,SMOTE+Tomek,,SMOTE+ENN,,max,
,two,six,two,six,two,six,two,six,two,six,two,six,two,six,two,six,two,six,two,six,two,six,two,six
,six,0.685,0.671,0.745,0.688,0.796,0.837,0.74,0.726,0.867,0.708,0.746,,,,,,,,,,,,
NearMiss,two,0.677,0.667,0.691,0.677,0.785,0.802,0.677,0.668,0.781,0.667,0.709,,,,,,,,,,,,
,six,0.753,0.689,0.798,0.697,0.808,0.8,0.686,0.748,0.831,0.739,0.755,,,,,,,,,,,,
ENN,two,0.688,0.571,0.782,0.834,0.879,0.907,0.878,0.76,0.919,0.667,0.788,,,,,,,,,,,,
,six,0.708,0.584,0.798,0.848,0.889,0.916,0.866,0.769,0.938,0.735,0.805,,,,,,,,,,,,
TomekLink,two,0.441,0.35,0.508,0.561,0.689,0.764,0.647,0.512,0.733,0.333,0.554,,,,,,,,,,,,
,six,0.417,0.317,0.494,0.596,0.684,0.772,0.645,0.504,0.807,0.361,0.56,,,,,,,,,,,,
OSS,two,0.426,0.358,0.511,0.563,0.691,0.819,0.667,0.512,0.766,0.358,0.567,,,,,,,,,,,,
,six,0.417,0.317,0.494,0.596,0.694,0.836,0.575,0.51,0.818,0.362,0.562,,,,,,,,,,,,
ROM,two,0.696,0.652,0.733,0.676,0.783,0.844,0.757,0.747,0.86,0.667,0.741,,,,,,,,,,,,
,six,0.678,0.673,0.746,0.686,0.795,0.837,0.743,0.733,0.867,0.707,0.747,,,,,,,,,,,,
SMOTE,two,0.697,0.648,0.731,0.676,0.776,0.844,0.758,0.75,0.86,0.662,0.74,,,,,,,,,,,,
,six,0.677,0.673,0.746,0.686,0.798,0.837,0.743,0.733,0.867,0.712,0.747,,,,,,,,,,,,
BSMOTE,two,0.721,0.673,0.754,0.711,0.818,0.883,0.811,0.786,0.894,0.686,0.774,,,,,,,,,,,,
,six,0.702,0.686,0.766,0.715,0.835,0.874,0.763,0.766,0.905,0.716,0.773,,,,,,,,,,,,
SMOTE+Tomek,two,0.714,0.652,0.749,0.689,0.783,0.852,0.797,0.763,0.862,0.692,0.755,,,,,,,,,,,,
,six,0.687,0.673,0.751,0.696,0.799,0.843,0.768,0.735,0.873,0.717,0.754,,,,,,,,,,,,
SMOTE+ENN,two,0.685,0.577,0.731,0.65,0.765,0.849,0.811,0.722,0.867,0.677,0.733,,,,,,,,,,,,
,six,0.618,0.558,0.672,0.624,0.761,0.839,0.761,0.667,0.872,0.663,0.703,,,,,,,,,,,,
