"class","none.recall","rum.recall","nm.recall","enn.recall","tlr.recall","oss.recall","rom.recall","smo.recall","bsmote.recall","csmote.recall","cenn.recall"
"fabric","0.378","0.685","0.753","0.708","0.417","0.417","0.678","0.677","0.702","0.687","0.618"
"jgroups","0.294","0.671","0.689","0.584","0.317","0.317","0.673","0.673","0.686","0.673","0.558"
"camel","0.469","0.745","0.798","0.798","0.494","0.494","0.746","0.746","0.766","0.751","0.672"
"tomcat","0.591","0.688","0.697","0.848","0.596","0.596","0.686","0.686","0.715","0.696","0.624"
"brackets","0.661","0.796","0.808","0.889","0.684","0.694","0.795","0.798","0.835","0.799","0.761"
"neutron","0.761","0.837","0.8","0.916","0.772","0.836","0.837","0.837","0.874","0.843","0.839"
"spring-integration","0.637","0.74","0.686","0.866","0.645","0.575","0.743","0.743","0.763","0.768","0.761"
"broadleaf","0.484","0.726","0.748","0.769","0.504","0.51","0.733","0.733","0.766","0.735","0.667"
"nova","0.798","0.867","0.831","0.938","0.807","0.818","0.867","0.867","0.905","0.873","0.872"
"npm","0.311","0.708","0.739","0.735","0.361","0.362","0.707","0.712","0.716","0.717","0.663"
"AVG","0.538","0.746","0.755","0.805","0.56","0.562","0.747","0.747","0.773","0.754","0.703"
"WTL","0","0","0","0","0","0","0","0","0","0","0"
"Improve.e","0","27.872","28.706","33.145","3.849","4.209","27.9","27.955","30.351","28.637","23.473"
