projects,NONE,RUM,NearMiss,ENN,TomekLink,OSS,ROM,SMOTE,BSMOTE,SMOTE+Tomek,SMOTE+ENN,,min
Fabric8,2,4,3.5,4,2,2,4,4,4,4.5,5,,2
JGroups,2,4,5,3,2,2,4,5,5,5,4,,2
Camel,2,3,3,3,2,2,3,3,3,3,3,,2
Tomcat,2,2,2,2,2,2,2,2,2,2,2,,2
Brackets,2,3,3,4,2,2,3,3,3,3,2,,2
Neutron,1,2,2,2,1,2,2,2,2,2,2,,1
Spring,1,1,1,1,1,1,1,1,1,1,1,,1
Broadleaf,2,4,3,3,2,2,4,4,4,4,3,,2
Nova,2,2,2,3,2,2,2,2,3,2,3,,2
Npm,2,3,3,3,2,2,3,4,4,3,3,,2
AVG,1.8,2.8,2.75,2.8,1.8,1.9,2.8,3,3.1,2.95,2.8,,1.8
WTL,0,0,0,0,0,0,0,0,0,0,0,,
Improve.e,0,35.714,34.545,35.714,0,5.263,35.714,40,41.935,38.983,35.714,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
min,1,1,1,1,1,1,1,1,1,1,1,,
