projects,NONE,RUM,NearMiss,ENN,TomekLink,OSS,ROM,SMOTE,BSMOTE,SMOTE+Tomek,SMOTE+ENN,,max
Fabric8,0.39,0.696,0.678,0.699,0.453,0.435,0.696,0.706,0.73,0.719,0.699,,0.73
JGroups,0.303,0.548,0.562,0.492,0.319,0.327,0.556,0.55,0.571,0.549,0.475,,0.571
Camel,0.39,0.68,0.647,0.711,0.452,0.452,0.678,0.678,0.69,0.685,0.677,,0.711
Tomcat,0.477,0.591,0.592,0.744,0.494,0.494,0.597,0.592,0.624,0.613,0.577,,0.744
Brackets,0.606,0.724,0.749,0.813,0.627,0.63,0.725,0.728,0.764,0.733,0.707,,0.813
Neutron,0.733,0.816,0.79,0.884,0.744,0.787,0.814,0.814,0.853,0.827,0.822,,0.884
Spring,0.556,0.692,0.619,0.762,0.592,0.6,0.692,0.692,0.7,0.7,0.721,,0.762
Broadleaf,0.437,0.704,0.641,0.703,0.47,0.47,0.701,0.705,0.735,0.71,0.671,,0.735
Nova,0.693,0.826,0.747,0.882,0.706,0.756,0.827,0.826,0.851,0.832,0.824,,0.882
Npm,0.294,0.615,0.618,0.622,0.348,0.348,0.612,0.615,0.64,0.654,0.642,,0.654
AVG,0.488,0.689,0.664,0.731,0.52,0.53,0.69,0.691,0.716,0.702,0.682,,0.731
WTL,0,0,0,0,0,0,0,0,0,0,0,,
Improve.e,0,29.208,26.559,33.282,6.235,7.899,29.283,29.354,31.834,30.524,28.427,,
,,,,,,,,,,,,,
max,0.733,0.826,0.79,0.884,0.744,0.787,0.827,0.826,0.853,0.832,0.824,,
