projects,NONE,RUM,NearMiss,ENN,TomekLink,OSS,ROM,SMOTE,BSMOTE,SMOTE+Tomek,SMOTE+ENN,,max
Fabric8,0.632,0.702,0.704,0.692,0.651,0.652,0.706,0.706,0.704,0.706,0.707,,0.707
JGroups,0.614,0.665,0.664,0.648,0.623,0.623,0.665,0.666,0.667,0.667,0.661,,0.667
Camel,0.656,0.722,0.701,0.713,0.666,0.666,0.722,0.721,0.718,0.719,0.714,,0.722
Tomcat,0.687,0.701,0.701,0.666,0.692,0.692,0.7,0.7,0.7,0.698,0.698,,0.701
Brackets,0.771,0.789,0.79,0.785,0.771,0.773,0.789,0.789,0.788,0.789,0.78,,0.79
Neutron,0.809,0.833,0.823,0.84,0.816,0.825,0.831,0.833,0.839,0.835,0.834,,0.84
Spring,0.704,0.727,0.714,0.717,0.705,0.707,0.729,0.728,0.731,0.73,0.728,,0.731
Broadleaf,0.683,0.75,0.733,0.735,0.696,0.696,0.751,0.754,0.747,0.751,0.748,,0.754
Nova,0.796,0.834,0.818,0.839,0.806,0.805,0.834,0.833,0.835,0.834,0.834,,0.839
Npm,0.598,0.68,0.673,0.647,0.623,0.623,0.689,0.685,0.68,0.694,0.669,,0.694
AVG,0.695,0.74,0.732,0.728,0.705,0.706,0.741,0.742,0.741,0.742,0.737,,0.742
WTL,0,0,0,0,0,0,0,0,0,0,0,,
Improve.e,0,6.094,5.054,4.526,1.377,1.555,6.25,6.265,6.172,6.361,5.724,,
,,,,,,,,,,,,,
max,0.809,0.834,0.823,0.84,0.816,0.825,0.834,0.833,0.839,0.835,0.834,,
