,Popt,Erecall,Eprecision,Efmeasure,PMI,IFA,recall,precision,F1,Pf,AUC,MCC
0,0.5305142105988444,0.4218009478672986,0.839622641509434,0.5615141955835963,0.2896174863387978,3.0,0.5876777251184834,0.8378378378378378,0.6908077994428969,0.15483870967741936,0.716419507720532,0.4357871024557061
1,0.552147793780002,0.37185929648241206,0.8131868131868132,0.5103448275862069,0.3170731707317073,2.0,0.6934673366834171,0.8789808917197452,0.7752808988764046,0.2159090909090909,0.7387791228871632,0.4423568126542765
2,0.488354732814812,0.329608938547486,0.7763157894736842,0.46274509803921565,0.29118773946360155,4.0,0.6536312849162011,0.8666666666666667,0.7452229299363057,0.21951219512195122,0.717059544897125,0.4032646639525544
3,0.5036264361263771,0.40418118466898956,0.6137566137566137,0.48739495798319327,0.3586337760910816,8.0,0.5714285714285714,0.6533864541832669,0.6096654275092936,0.3625,0.6044642857142857,0.2083305700409814
4,0.5935603627475492,0.42783505154639173,0.51875,0.4689265536723164,0.3389830508474576,11.0,0.7010309278350515,0.6098654708520179,0.6522781774580335,0.3129496402877698,0.6940406437736408,0.3824669040190998
5,0.5108331746517194,0.3333333333333333,0.38571428571428573,0.35761589403973504,0.3023758099352052,2.0,0.6481481481481481,0.5023923444976076,0.5660377358490567,0.34551495016611294,0.6513165989910176,0.29004629406967863
6,0.5783214670420536,0.4260089686098655,0.5459770114942529,0.4785894206549119,0.30905861456483125,3.0,0.6681614349775785,0.5936254980079682,0.628691983122363,0.3,0.6840807174887891,0.3622563661809783
7,0.6583299210226286,0.5364806866952789,0.5813953488372093,0.5580357142857142,0.38188277087033745,3.0,0.7253218884120172,0.6057347670250897,0.66015625,0.3333333333333333,0.695994277539342,0.38614200374379365
8,0.6109448007806446,0.44642857142857145,0.5405405405405406,0.48899755501222497,0.34709193245778613,3.0,0.7053571428571429,0.6147859922178989,0.6569646569646571,0.32038834951456313,0.6924843966712898,0.38028366604194014
9,0.5636951516445381,0.37992831541218636,0.5988700564971752,0.4649122807017544,0.28139904610492844,7.0,0.6594982078853047,0.6865671641791045,0.6727605118829981,0.24,0.7097491039426523,0.4214492018417583
10,0.6573674702443013,0.4669603524229075,0.6162790697674418,0.531328320802005,0.3006993006993007,5.0,0.7180616740088106,0.6680327868852459,0.692144373673036,0.23478260869565218,0.7416395326565792,0.4780668432729888
11,0.6657927558625072,0.6181818181818182,0.5543478260869565,0.5845272206303725,0.39655172413793105,3.0,0.6848484848484848,0.5566502463054187,0.6141304347826086,0.3010033444816054,0.6919225701834397,0.3703951917373703
12,0.5296186524847781,0.4788732394366197,0.4722222222222222,0.4755244755244755,0.3356643356643357,2.0,0.5352112676056338,0.475,0.5033112582781457,0.2926829268292683,0.6212641703881827,0.23599971844432185
13,0.5198052031759514,0.3853211009174312,0.4421052631578947,0.411764705882353,0.25675675675675674,2.0,0.5963302752293578,0.45774647887323944,0.5179282868525896,0.2950191570881226,0.6506555590706176,0.2824470635946107
14,0.6282582707945121,0.42567567567567566,0.5163934426229508,0.4666666666666666,0.3112244897959184,2.0,0.7432432432432432,0.5945945945945946,0.6606606606606608,0.3073770491803279,0.7179330970314577,0.42326067502435555
15,0.5540287574949211,0.3782771535580524,0.6196319018404908,0.46976744186046504,0.27580372250423013,2.0,0.6779026217228464,0.6830188679245283,0.6804511278195489,0.25925925925925924,0.7093216812317936,0.4189291771380824
16,0.8042353967274878,0.5259259259259259,0.570281124497992,0.5472061657032755,0.39712918660287083,5.0,0.7222222222222222,0.6074766355140186,0.6598984771573604,0.35294117647058826,0.684640522875817,0.3658135413008346
17,0.7499021972333137,0.5135135135135135,0.4578313253012048,0.48407643312101906,0.39618138424821003,1.0,0.6486486486486487,0.4948453608247423,0.5614035087719298,0.36162361623616235,0.6435125162062432,0.2751332978255045
18,0.6276278071716166,0.4566929133858268,0.42028985507246375,0.4377358490566038,0.3780821917808219,6.0,0.7244094488188977,0.5082872928176796,0.5974025974025974,0.3739495798319328,0.6752299344934825,0.33387233490221835
19,0.6495302470435559,0.5136612021857924,0.5497076023391813,0.5310734463276836,0.38169642857142855,5.0,0.7377049180327869,0.6081081081081081,0.6666666666666667,0.3283018867924528,0.7047015156201671,0.4025027286722997
20,0.5433231440417308,0.39299610894941633,0.6474358974358975,0.48910411622276023,0.2703639514731369,3.0,0.6575875486381323,0.7071129707112971,0.6814516129032259,0.21875,0.7194187743190661,0.44278003536534105
21,0.484196206615509,0.3574007220216607,0.673469387755102,0.46698113207547165,0.23595505617977527,4.0,0.5740072202166066,0.7162162162162162,0.6372745490981964,0.18208092485549132,0.6959631476805577,0.40666206609222855
22,0.5805999582458685,0.4430379746835443,0.6481481481481481,0.5263157894736843,0.33436532507739936,3.0,0.6582278481012658,0.6864686468646864,0.6720516962843296,0.2878787878787879,0.685174530111239,0.37097392406687774
23,0.4994361319021654,0.3639705882352941,0.559322033898305,0.44097995545657015,0.29747899159663865,7.0,0.6213235294117647,0.6305970149253731,0.625925925925926,0.3065015479876161,0.6574109907120743,0.31521689574341893
24,0.4621261860612246,0.3333333333333333,0.4690265486725664,0.3897058823529411,0.2545045045045045,7.0,0.5911949685534591,0.5433526011560693,0.5662650602409638,0.2771929824561403,0.6570009930486593,0.30870644050199714
25,0.5852855913463748,0.35772357723577236,0.411214953271028,0.38260869565217387,0.2628992628992629,6.0,0.7154471544715447,0.5269461077844312,0.6068965517241379,0.27816901408450706,0.7186390701935188,0.4082306765662284
