,Popt,Erecall,Eprecision,Efmeasure,PMI,IFA,recall,precision,F1,Pf,AUC,MCC
0,0.3255936586380742,0.09090909090909091,0.8,0.163265306122449,0.022935779816513763,2.0,0.11363636363636363,0.8333333333333334,0.19999999999999998,0.005747126436781609,0.5539446185997909,0.2646887782161629
1,0.5774977359109601,0.06930693069306931,0.6363636363636364,0.12500000000000003,0.03559870550161812,4.0,0.07920792079207921,0.6666666666666666,0.14159292035398233,0.019230769230769232,0.529988575780655,0.1456160824952766
2,0.3039138420502897,0.0990990990990991,0.6875,0.1732283464566929,0.05693950177935943,3.0,0.10810810810810811,0.6,0.18320610687022904,0.047058823529411764,0.5305246422893481,0.11607301823505346
3,0.27260292588438817,0.10204081632653061,0.6666666666666666,0.17699115044247787,0.055248618784530384,3.0,0.10204081632653061,0.625,0.17543859649122806,0.0345821325648415,0.5337293418808444,0.13757679786869823
4,0.18273882394428664,0.1510791366906475,0.65625,0.24561403508771934,0.07272727272727272,2.0,0.1510791366906475,0.6363636363636364,0.2441860465116279,0.03986710963455149,0.555606013528048,0.19628550518373042
5,0.19929410873701847,0.18269230769230768,0.6551724137931034,0.2857142857142857,0.10104529616724739,1.0,0.18269230769230768,0.6551724137931034,0.2857142857142857,0.0546448087431694,0.5640237494745692,0.20422291118389685
6,0.4051330925814216,0.3416666666666667,0.5774647887323944,0.4293193717277487,0.2113095238095238,3.0,0.4166666666666667,0.5813953488372093,0.4854368932038835,0.16666666666666666,0.625,0.27449742659868837
7,0.4500289508929419,0.3893805309734513,0.55,0.45595854922279794,0.22988505747126436,1.0,0.4690265486725664,0.5463917525773195,0.5047619047619047,0.18723404255319148,0.6408962530596873,0.29429295412362483
8,0.5728212823544963,0.21951219512195122,0.4426229508196721,0.2934782608695652,0.17134831460674158,5.0,0.23577235772357724,0.4393939393939394,0.3068783068783069,0.15879828326180256,0.5384870372308874,0.09418983262341928
9,0.6483096611880682,0.4,0.6,0.48,0.21978021978021978,1.0,0.4166666666666667,0.5813953488372093,0.4854368932038835,0.14754098360655737,0.6345628415300547,0.2978304225905198
10,0.40465610734946933,0.39357429718875503,0.7480916030534351,0.5157894736842106,0.2109500805152979,1.0,0.39357429718875503,0.7313432835820896,0.5117493472584855,0.0967741935483871,0.648400051820184,0.3536049304823057
11,0.30553398157938594,0.27705627705627706,0.8311688311688312,0.4155844155844156,0.13652482269503546,1.0,0.27705627705627706,0.8,0.4115755627009646,0.04804804804804805,0.6145041145041145,0.3227836443328336
12,0.36679031761794745,0.3108108108108108,0.6764705882352942,0.42592592592592593,0.13765182186234817,2.0,0.36486486486486486,0.627906976744186,0.4615384615384615,0.09248554913294797,0.6361896578659585,0.3290513860062028
13,0.4416642969269359,0.38596491228070173,0.6875,0.49438202247191015,0.1839080459770115,2.0,0.47368421052631576,0.627906976744186,0.5399999999999999,0.13675213675213677,0.6684660368870895,0.36660876001105547
14,0.5640532068096935,0.5344827586206896,0.6326530612244898,0.5794392523364486,0.31210191082802546,1.0,0.5862068965517241,0.6296296296296297,0.6071428571428571,0.20202020202020202,0.6920933472657611,0.3903538092458702
15,0.5069203786100915,0.5072463768115942,0.625,0.56,0.29473684210526313,1.0,0.5072463768115942,0.625,0.56,0.17355371900826447,0.666846328901665,0.35197958011619584
16,0.4188380087515081,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.24375,7.0,0.3333333333333333,0.3291139240506329,0.3312101910828026,0.2190082644628099,0.5571625344352616,0.11383462706283659
17,0.5022493260466354,0.3917525773195876,0.4367816091954023,0.41304347826086957,0.24166666666666667,6.0,0.3917525773195876,0.4318181818181818,0.4108108108108108,0.19011406844106463,0.6008192544392615,0.2081667828808188
18,0.4716373905548268,0.463768115942029,0.6666666666666666,0.5470085470085471,0.200836820083682,6.0,0.463768115942029,0.6666666666666666,0.5470085470085471,0.09411764705882353,0.6848252344416027,0.4181219480825209
19,0.7062746707245553,0.2830188679245283,0.7142857142857143,0.4054054054054054,0.1099476439790576,2.0,0.3584905660377358,0.7307692307692307,0.4810126582278481,0.050724637681159424,0.6538829641782882,0.4018549949921642
20,0.4445523871086636,0.08620689655172414,1.0,0.15873015873015872,0.03496503496503497,1.0,0.10344827586206896,1.0,0.1875,0.0,0.5517241379310345,0.25334410758635956
21,0.5266891177169033,0.46835443037974683,0.5211267605633803,0.4933333333333333,0.3287037037037037,6.0,0.5063291139240507,0.5333333333333333,0.5194805194805195,0.25547445255474455,0.6254273306846531,0.25377907885046525
22,0.5307553976265224,0.4716981132075472,0.4807692307692308,0.4761904761904762,0.3058823529411765,3.0,0.5094339622641509,0.4909090909090909,0.5,0.23931623931623933,0.6350588614739558,0.26745682254696235
23,0.5065433478634982,0.4666666666666667,0.5,0.4827586206896552,0.2978723404255319,2.0,0.5333333333333333,0.5,0.5161290322580646,0.25,0.6416666666666666,0.27872598020818
24,0.5029262167514164,0.4947916666666667,0.6597222222222222,0.5654761904761905,0.4630225080385852,3.0,0.5208333333333334,0.6622516556291391,0.5830903790087464,0.42857142857142855,0.5461309523809524,0.08972181419239214
25,0.26370152945762826,0.24019607843137256,0.5568181818181818,0.33561643835616434,0.2410958904109589,1.0,0.2696078431372549,0.5670103092783505,0.3654485049833887,0.2608695652173913,0.5043691389599317,0.009822015402904357
26,0.3425530793529217,0.23076923076923078,0.42857142857142855,0.3,0.14507772020725387,4.0,0.36538461538461536,0.5,0.42222222222222217,0.1347517730496454,0.6153164211674851,0.25732070468086926
27,0.4543549213459498,0.32432432432432434,0.375,0.34782608695652173,0.2191780821917808,1.0,0.4594594594594595,0.4473684210526316,0.45333333333333337,0.1926605504587156,0.6333994545003719,0.2644810036424533
28,0.20006524904183376,0.2,0.3333333333333333,0.25,0.14634146341463414,2.0,0.2,0.3333333333333333,0.25,0.12903225806451613,0.535483870967742,0.08622479818365826
29,0.13196601808851438,0.13157894736842105,0.5,0.20833333333333334,0.09090909090909091,4.0,0.13157894736842105,0.5,0.20833333333333334,0.06944444444444445,0.5310672514619883,0.10277580209891833
30,0.04743099705889331,0.05263157894736842,0.6666666666666666,0.09756097560975609,0.02857142857142857,2.0,0.07894736842105263,0.75,0.14285714285714285,0.014925373134328358,0.5320109976433621,0.1607191852710751
31,0.09431616123162301,0.10869565217391304,0.5555555555555556,0.1818181818181818,0.08653846153846154,4.0,0.13043478260869565,0.6,0.21428571428571427,0.06896551724137931,0.5307346326836581,0.10355879982662886
32,0.7698308286110385,0.29411764705882354,0.5882352941176471,0.3921568627450981,0.15315315315315314,1.0,0.29411764705882354,0.5882352941176471,0.3921568627450981,0.09090909090909091,0.6016042780748664,0.26009884502100866
33,0.9379811694593638,1.0,0.2,0.33333333333333337,0.9929078014184397,3.0,0.17857142857142858,0.3125,0.22727272727272727,0.09734513274336283,0.5406131479140328,0.10216447040877982
34,0.5916634826686447,0.5714285714285714,0.32432432432432434,0.41379310344827586,0.3425925925925926,3.0,0.6190476190476191,0.34210526315789475,0.44067796610169496,0.28735632183908044,0.6658456486042693,0.27489227289044993
35,0.682416008555881,0.7,0.5833333333333334,0.6363636363636365,0.4067796610169492,4.0,0.7,0.5833333333333334,0.6363636363636365,0.2564102564102564,0.7217948717948718,0.4274537726079017
36,0.4132250854371412,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.25757575757575757,4.0,0.47058823529411764,0.42105263157894735,0.4444444444444444,0.22448979591836735,0.6230492196878752,0.237687110409209
37,0.026292985949192493,0.02040816326530612,1.0,0.039999999999999994,0.009708737864077669,1.0,0.02040816326530612,0.5,0.039215686274509796,0.018518518518518517,0.5009448223733938,0.006839107019302691
38,0.6854613221331565,0.5813953488372093,0.7142857142857143,0.6410256410256411,0.3211009174311927,1.0,0.5813953488372093,0.7142857142857143,0.6410256410256411,0.15151515151515152,0.714940098661029,0.4499909225737861
39,0.8768590337831155,1.0,0.3442622950819672,0.5121951219512195,0.9838709677419355,2.0,0.07142857142857142,0.75,0.13043478260869565,0.012195121951219513,0.5296167247386759,0.15866384600114344
40,0.5465268648581103,0.5238095238095238,0.6666666666666666,0.5866666666666667,0.3,2.0,0.5238095238095238,0.6666666666666666,0.5866666666666667,0.16176470588235295,0.6810224089635853,0.3838301667475198
41,0.7413108720460678,0.75,0.6428571428571429,0.6923076923076924,0.5121951219512195,4.0,0.75,0.6428571428571429,0.6923076923076924,0.32608695652173914,0.7119565217391305,0.42087420111917273
42,0.4607713214845245,0.40229885057471265,0.7142857142857143,0.5147058823529412,0.26344086021505375,2.0,0.5057471264367817,0.7457627118644068,0.6027397260273973,0.15151515151515152,0.677115987460815,0.37978439652005613
43,0.4698596098784946,0.42574257425742573,0.6142857142857143,0.5029239766081872,0.29535864978902954,1.0,0.5148514851485149,0.6419753086419753,0.5714285714285715,0.21323529411764705,0.650808095515434,0.31447055243824334
44,0.7140559636725015,0.703125,0.6164383561643836,0.656934306569343,0.4010989010989011,1.0,0.734375,0.618421052631579,0.6714285714285715,0.2457627118644068,0.7443061440677966,0.47308115314427834
45,0.7666006854966826,0.7534246575342466,0.5789473684210527,0.6547619047619049,0.5248618784530387,2.0,0.7808219178082192,0.5816326530612245,0.6666666666666666,0.37962962962962965,0.7005961440892947,0.39497881277487185
