"algorithms","NONE","RUM","NearMiss","ENN","Tomek Link","ROM","OSS","SMOTE","BSMOTE","SMOTE+Tomek","SMOTE+ENN"
"Recall",0.777608625505662,0.860600933933476,0.859494950581302,0.85508508003479,0.867348321365596,0.798432216183236,0.803550361435446,0.808536573953709,0.815128506525326,0.876647543875698,0.870366821849441
"Precision",0.776649162149203,0.677754620341238,0.565485020722782,0.695557179393496,0.68041483875918,0.747974788757534,0.751132509114525,0.735227191384195,0.725251696934534,0.650786274938964,0.656827109770292
"Pf",0.125412920646833,0.238767649853546,0.379838001339686,0.202975541180224,0.216431002796167,0.145463807461205,0.146218849123682,0.162168666451322,0.171036297036297,0.253555267598955,0.245178173775993
"F-measure",0.782679490960916,0.756988048957337,0.697414861488278,0.757970607802246,0.754327943562963,0.78106740143653,0.778233064648136,0.775240863939151,0.77093954653758,0.748250554200139,0.74952242792023
"AUC",0.825197960490036,0.812079700177149,0.749480106152733,0.818217434256742,0.817075004860074,0.823453122826512,0.823891354474214,0.823739758249877,0.821863851023315,0.810902051180632,0.813068088865111
"MCC",0.651131169305059,0.596128625534467,0.495194731344977,0.619937176859152,0.611420709731476,0.638355147628461,0.641679398727297,0.634456328492606,0.628256984683834,0.595689423558006,0.600779022206767
"Popt",0.837853708254939,0.866928132810271,0.835915440580607,0.84735965375249,0.859202279656887,0.852429076798139,0.84355217046571,0.855830884236588,0.856424855440082,0.870220823965511,0.862870608717899
"Recall@20%",0.712949022435218,0.818181811111319,0.800997362099906,0.76963582545432,0.786665909090909,0.738920507493015,0.731811928338838,0.752706716059574,0.755318296253969,0.813678519710378,0.802536231884058
"Precision@20%",0.772764470704973,0.673442063628589,0.560900199331749,0.684450356216957,0.665833597617308,0.739408602758309,0.740870271225309,0.726527262173785,0.715355968366627,0.640052089304956,0.64761620458508
"F-measure@20%",0.743874157604567,0.696134964471411,0.661558132912662,0.723018044757175,0.714665066088784,0.738994623725319,0.738124375019963,0.732975840301921,0.728944089419367,0.698386682643557,0.704927014509727
"PMI",0.336093949555934,0.429682436811406,0.522820714573023,0.409564698975532,0.411629871242553,0.354459234001494,0.354621920295497,0.366516613143611,0.374285615636454,0.432969852469532,0.428864656831302
"IFA",3,5,21,4,5,3,3,3,4,6,6
